Date,Product,Category,Region,Units_Sold,Unit_Price,Revenue,Cost,Profit,Customer_Rating
2024-01-05,Laptop Pro,Electronics,North,120,999.99,119998.80,84000.00,35998.80,4.5
2024-01-12,Wireless Mouse,Electronics,South,450,29.99,13495.50,6750.00,6745.50,4.2
2024-01-18,Office Chair,Furniture,East,85,249.99,21249.15,12750.00,8499.15,4.7
2024-01-25,Desk Lamp,Furniture,West,200,49.99,9998.00,4000.00,5998.00,3.9
2024-02-02,Laptop Pro,Electronics,East,95,999.99,94999.05,66500.00,28499.05,4.6
2024-02-08,Bluetooth Speaker,Electronics,North,310,79.99,24796.90,9300.00,15496.90,4.3
2024-02-15,Standing Desk,Furniture,South,60,599.99,35999.40,21000.00,14999.40,4.8
2024-02-22,Webcam HD,Electronics,West,275,69.99,19247.25,8250.00,10997.25,4.1
2024-03-01,Office Chair,Furniture,North,110,249.99,27498.90,16500.00,10998.90,4.6
2024-03-07,Laptop Pro,Electronics,South,140,999.99,139998.60,98000.00,41998.60,4.4
2024-03-14,Wireless Mouse,Electronics,East,520,29.99,15594.80,7800.00,7794.80,4.3
2024-03-20,Monitor 27in,Electronics,West,90,349.99,31499.10,16200.00,15299.10,4.7
2024-03-28,Desk Lamp,Furniture,North,180,49.99,8998.20,3600.00,5398.20,4.0
2024-04-04,Bluetooth Speaker,Electronics,East,290,79.99,23197.10,8700.00,14497.10,4.2
2024-04-11,Standing Desk,Furniture,West,75,599.99,44999.25,26250.00,18749.25,4.9
2024-04-18,Webcam HD,Electronics,South,240,69.99,16797.60,7200.00,9597.60,4.0
2024-04-25,Laptop Pro,Electronics,North,155,999.99,154998.45,108500.00,46498.45,4.5
2024-05-02,Office Chair,Furniture,East,95,249.99,23749.05,14250.00,9499.05,4.7
2024-05-09,Wireless Mouse,Electronics,South,480,29.99,14395.20,7200.00,7195.20,4.1
2024-05-16,Monitor 27in,Electronics,North,105,349.99,36748.95,18900.00,17848.95,4.8
2024-05-22,Desk Lamp,Furniture,West,160,49.99,7998.40,3200.00,4798.40,3.8
2024-06-01,Bluetooth Speaker,Electronics,South,340,79.99,27196.60,10200.00,16996.60,4.4
2024-06-08,Standing Desk,Furniture,North,70,599.99,41999.30,24500.00,17499.30,4.8
2024-06-15,Webcam HD,Electronics,East,260,69.99,18197.40,7800.00,10397.40,4.2
2024-06-22,Laptop Pro,Electronics,West,130,999.99,129998.70,91000.00,38998.70,4.6
2024-07-01,Office Chair,Furniture,South,100,249.99,24999.00,15000.00,9999.00,4.5
2024-07-10,Wireless Mouse,Electronics,North,500,29.99,14995.00,7500.00,7495.00,4.3
2024-07-18,Monitor 27in,Electronics,East,,349.99,,14400.00,,4.6
2024-07-25,Desk Lamp,Furniture,West,190,49.99,9498.10,3800.00,5698.10,4.1
2024-08-02,Bluetooth Speaker,Electronics,North,360,79.99,28796.40,10800.00,17996.40,4.5
2024-08-10,Standing Desk,Furniture,East,80,599.99,47999.20,28000.00,19999.20,
2024-08-18,Webcam HD,Electronics,South,230,69.99,16097.70,6900.00,9197.70,4.0
2024-08-25,Laptop Pro,Electronics,North,165,999.99,164998.35,115500.00,49498.35,4.7
2024-09-01,Office Chair,Furniture,West,90,249.99,22499.10,13500.00,8999.10,4.4
2024-09-08,Wireless Mouse,Electronics,East,540,29.99,16194.60,8100.00,8094.60,4.2
2024-09-15,Monitor 27in,Electronics,South,115,349.99,40248.85,20700.00,19548.85,4.7
2024-09-22,Standing Desk,Furniture,North,85,599.99,50999.15,29750.00,21249.15,4.9
2024-10-01,Bluetooth Speaker,Electronics,West,320,79.99,25596.80,9600.00,15996.80,4.3
2024-10-10,Desk Lamp,Furniture,South,170,49.99,8498.30,3400.00,5098.30,3.9
2024-10-18,Webcam HD,Electronics,North,280,69.99,19597.20,8400.00,11197.20,4.3
